ticker,config,target,silence,min_vol,dir_thresh,vol_ratio,kappa,rows,metric_name,metric_value
NVDA,s0p5_v50_d0p8_r0p3_k1p0,cls_close,0.5,50,0.8,0.3,1.0,1517985,AUC,0.5012967670573286
NVDA,s0p5_v50_d0p8_r0p5_k0p2,cls_1m,0.5,50,0.8,0.5,0.2,1576250,AUC,0.6545036865649417
NVDA,s0p5_v50_d0p8_r0p5_k0p2,cls_5m,0.5,50,0.8,0.5,0.2,1576250,AUC,0.6178606384881161
NVDA,s0p5_v50_d0p8_r0p5_k0p2,cls_10m,0.5,50,0.8,0.5,0.2,1576250,AUC,0.5898869020633982
NVDA,s0p5_v50_d0p8_r0p5_k0p2,cls_close,0.5,50,0.8,0.5,0.2,1576250,AUC,0.5121427476401712
NVDA,s0p5_v50_d0p8_r0p5_k0p5,cls_1m,0.5,50,0.8,0.5,0.5,1570990,AUC,0.6533464406504544
NVDA,s0p5_v50_d0p8_r0p5_k0p5,cls_5m,0.5,50,0.8,0.5,0.5,1570990,AUC,0.6209689340693875
NVDA,s0p5_v50_d0p8_r0p5_k0p5,cls_10m,0.5,50,0.8,0.5,0.5,1570990,AUC,0.5934495078351824
NVDA,s0p5_v50_d0p8_r0p5_k0p5,cls_close,0.5,50,0.8,0.5,0.5,1570990,AUC,0.510389628018734
NVDA,s0p5_v50_d0p8_r0p5_k1p0,cls_1m,0.5,50,0.8,0.5,1.0,1561707,AUC,0.6535310914121838
NVDA,s0p5_v50_d0p8_r0p5_k1p0,cls_5m,0.5,50,0.8,0.5,1.0,1561707,AUC,0.6168619185510719
NVDA,s0p5_v50_d0p8_r0p5_k1p0,cls_10m,0.5,50,0.8,0.5,1.0,1561707,AUC,0.5884943711734267
NVDA,s0p5_v50_d0p8_r0p5_k1p0,cls_close,0.5,50,0.8,0.5,1.0,1561707,AUC,0.5111627925292622
NVDA,s0p5_v50_d0p9_r0p1_k0p2,cls_1m,0.5,50,0.9,0.1,0.2,1253382,AUC,0.6536495553009978
NVDA,s0p5_v50_d0p9_r0p1_k0p2,cls_5m,0.5,50,0.9,0.1,0.2,1253382,AUC,0.6211418819081657
NVDA,s0p5_v50_d0p9_r0p1_k0p2,cls_10m,0.5,50,0.9,0.1,0.2,1253382,AUC,0.5883322785931717
NVDA,s0p5_v50_d0p9_r0p1_k0p2,cls_close,0.5,50,0.9,0.1,0.2,1253382,AUC,0.5054947562413508
NVDA,s0p5_v50_d0p9_r0p1_k0p5,cls_1m,0.5,50,0.9,0.1,0.5,1248447,AUC,0.652879914402061
NVDA,s0p5_v50_d0p9_r0p1_k0p5,cls_5m,0.5,50,0.9,0.1,0.5,1248447,AUC,0.618620411096373
NVDA,s0p5_v50_d0p9_r0p1_k0p5,cls_10m,0.5,50,0.9,0.1,0.5,1248447,AUC,0.5911923946314125
NVDA,s0p5_v50_d0p9_r0p1_k0p5,cls_close,0.5,50,0.9,0.1,0.5,1248447,AUC,0.5058977711384866
NVDA,s0p5_v50_d0p9_r0p1_k1p0,cls_1m,0.5,50,0.9,0.1,1.0,1239885,AUC,0.6531701566343083
NVDA,s0p5_v50_d0p9_r0p1_k1p0,cls_5m,0.5,50,0.9,0.1,1.0,1239885,AUC,0.6178712308177866
NVDA,s0p5_v50_d0p9_r0p1_k1p0,cls_10m,0.5,50,0.9,0.1,1.0,1239885,AUC,0.5920389553829939
NVDA,s0p5_v50_d0p9_r0p1_k1p0,cls_close,0.5,50,0.9,0.1,1.0,1239885,AUC,0.5133492676756565
NVDA,s0p5_v50_d0p9_r0p3_k0p2,cls_1m,0.5,50,0.9,0.3,0.2,1282969,AUC,0.6540592572249999
NVDA,s0p5_v50_d0p9_r0p3_k0p2,cls_5m,0.5,50,0.9,0.3,0.2,1282969,AUC,0.620408751429895
NVDA,s0p5_v50_d0p9_r0p3_k0p2,cls_10m,0.5,50,0.9,0.3,0.2,1282969,AUC,0.591604743160469
NVDA,s0p5_v50_d0p9_r0p3_k0p2,cls_close,0.5,50,0.9,0.3,0.2,1282969,AUC,0.5092481447968787
NVDA,s0p5_v50_d0p9_r0p3_k0p5,cls_1m,0.5,50,0.9,0.3,0.5,1278030,AUC,0.6537456981141999
NVDA,s0p5_v50_d0p9_r0p3_k0p5,cls_5m,0.5,50,0.9,0.3,0.5,1278030,AUC,0.6231805805975841
NVDA,s0p5_v50_d0p9_r0p3_k0p5,cls_10m,0.5,50,0.9,0.3,0.5,1278030,AUC,0.5930037611819357
NVDA,s0p5_v50_d0p9_r0p3_k0p5,cls_close,0.5,50,0.9,0.3,0.5,1278030,AUC,0.5024289210264238
NVDA,s0p5_v50_d0p9_r0p3_k1p0,cls_1m,0.5,50,0.9,0.3,1.0,1269429,AUC,0.653012637644448
NVDA,s0p5_v50_d0p9_r0p3_k1p0,cls_5m,0.5,50,0.9,0.3,1.0,1269429,AUC,0.6163909382789933
NVDA,s0p5_v50_d0p9_r0p3_k1p0,cls_10m,0.5,50,0.9,0.3,1.0,1269429,AUC,0.5884786074059409
NVDA,s0p5_v50_d0p9_r0p3_k1p0,cls_close,0.5,50,0.9,0.3,1.0,1269429,AUC,0.5086607998985823
NVDA,s0p5_v50_d0p9_r0p5_k0p2,cls_1m,0.5,50,0.9,0.5,0.2,1286866,AUC,0.6541333456568447
NVDA,s0p5_v50_d0p9_r0p5_k0p2,cls_5m,0.5,50,0.9,0.5,0.2,1286866,AUC,0.6193927930824783
NVDA,s0p5_v50_d0p9_r0p5_k0p2,cls_10m,0.5,50,0.9,0.5,0.2,1286866,AUC,0.589578548313897
NVDA,s0p5_v50_d0p9_r0p5_k0p2,cls_close,0.5,50,0.9,0.5,0.2,1286866,AUC,0.5131138725011902
NVDA,s0p5_v50_d0p9_r0p5_k0p5,cls_1m,0.5,50,0.9,0.5,0.5,1281922,AUC,0.6535831602114044
NVDA,s0p5_v50_d0p9_r0p5_k0p5,cls_5m,0.5,50,0.9,0.5,0.5,1281922,AUC,0.6175870260299645
NVDA,s0p5_v50_d0p9_r0p5_k0p5,cls_10m,0.5,50,0.9,0.5,0.5,1281922,AUC,0.5861250521584291
NVDA,s0p5_v50_d0p9_r0p5_k0p5,cls_close,0.5,50,0.9,0.5,0.5,1281922,AUC,0.5104376605487414
NVDA,s0p5_v50_d0p9_r0p5_k1p0,cls_1m,0.5,50,0.9,0.5,1.0,1273312,AUC,0.6529242900949425
NVDA,s0p5_v50_d0p9_r0p5_k1p0,cls_5m,0.5,50,0.9,0.5,1.0,1273312,AUC,0.6161858348931609
NVDA,s0p5_v50_d0p9_r0p5_k1p0,cls_10m,0.5,50,0.9,0.5,1.0,1273312,AUC,0.5915836951000554
NVDA,s0p5_v50_d0p9_r0p5_k1p0,cls_close,0.5,50,0.9,0.5,1.0,1273312,AUC,0.4995024161070671
NVDA,s0p5_v100_d0p7_r0p1_k0p2,cls_1m,0.5,100,0.7,0.1,0.2,1275467,AUC,0.654701930587732
NVDA,s0p5_v100_d0p7_r0p1_k0p2,cls_5m,0.5,100,0.7,0.1,0.2,1275467,AUC,0.6209160710756421
NVDA,s0p5_v100_d0p7_r0p1_k0p2,cls_10m,0.5,100,0.7,0.1,0.2,1275467,AUC,0.5906320778869719
NVDA,s0p5_v100_d0p7_r0p1_k0p2,cls_close,0.5,100,0.7,0.1,0.2,1275467,AUC,0.5056890027767257
NVDA,s0p5_v100_d0p7_r0p1_k0p5,cls_1m,0.5,100,0.7,0.1,0.5,1271854,AUC,0.6543566743217663
NVDA,s0p5_v100_d0p7_r0p1_k0p5,cls_5m,0.5,100,0.7,0.1,0.5,1271854,AUC,0.6195457772864936
NVDA,s0p5_v100_d0p7_r0p1_k0p5,cls_10m,0.5,100,0.7,0.1,0.5,1271854,AUC,0.5864390537215589
NVDA,s0p5_v100_d0p7_r0p1_k0p5,cls_close,0.5,100,0.7,0.1,0.5,1271854,AUC,0.5153037917109247
NVDA,s0p5_v100_d0p7_r0p1_k1p0,cls_1m,0.5,100,0.7,0.1,1.0,1265465,AUC,0.6532422905470519
NVDA,s0p5_v100_d0p7_r0p1_k1p0,cls_5m,0.5,100,0.7,0.1,1.0,1265465,AUC,0.6186517846265939
NVDA,s0p5_v100_d0p7_r0p1_k1p0,cls_10m,0.5,100,0.7,0.1,1.0,1265465,AUC,0.5899180968178429
NVDA,s0p5_v100_d0p7_r0p1_k1p0,cls_close,0.5,100,0.7,0.1,1.0,1265465,AUC,0.5046927705019588
NVDA,s0p5_v100_d0p7_r0p3_k0p2,cls_1m,0.5,100,0.7,0.3,0.2,1516543,AUC,0.6558052133749891
NVDA,s0p5_v100_d0p7_r0p3_k0p2,cls_5m,0.5,100,0.7,0.3,0.2,1516543,AUC,0.6217609729301081
NVDA,s0p5_v100_d0p7_r0p3_k0p2,cls_10m,0.5,100,0.7,0.3,0.2,1516543,AUC,0.5908339830678762
NVDA,s0p5_v100_d0p7_r0p3_k0p2,cls_close,0.5,100,0.7,0.3,0.2,1516543,AUC,0.5159724862236253
NVDA,s0p5_v100_d0p7_r0p3_k0p5,cls_1m,0.5,100,0.7,0.3,0.5,1512817,AUC,0.6558403584731697
NVDA,s0p5_v100_d0p7_r0p3_k0p5,cls_5m,0.5,100,0.7,0.3,0.5,1512817,AUC,0.6231536748155505
NVDA,s0p5_v100_d0p7_r0p3_k0p5,cls_10m,0.5,100,0.7,0.3,0.5,1512817,AUC,0.588618722894333
NVDA,s0p5_v100_d0p7_r0p3_k0p5,cls_close,0.5,100,0.7,0.3,0.5,1512817,AUC,0.516930004642551
NVDA,s0p5_v100_d0p7_r0p3_k1p0,cls_1m,0.5,100,0.7,0.3,1.0,1506045,AUC,0.653440270314971
NVDA,s0p5_v100_d0p7_r0p3_k1p0,cls_5m,0.5,100,0.7,0.3,1.0,1506045,AUC,0.6253605101414013
NVDA,s0p5_v100_d0p7_r0p3_k1p0,cls_10m,0.5,100,0.7,0.3,1.0,1506045,AUC,0.5914068448358732
NVDA,s0p5_v100_d0p7_r0p3_k1p0,cls_close,0.5,100,0.7,0.3,1.0,1506045,AUC,0.5154614145748384
NVDA,s0p5_v100_d0p7_r0p5_k0p2,cls_1m,0.5,100,0.7,0.5,0.2,1625378,AUC,0.6558817304205303
NVDA,s0p5_v100_d0p7_r0p5_k0p2,cls_5m,0.5,100,0.7,0.5,0.2,1625378,AUC,0.6240788136126976
NVDA,s0p5_v100_d0p7_r0p5_k0p2,cls_10m,0.5,100,0.7,0.5,0.2,1625378,AUC,0.5899016540901177
NVDA,s0p5_v100_d0p7_r0p5_k0p2,cls_close,0.5,100,0.7,0.5,0.2,1625378,AUC,0.521759405386191
NVDA,s0p5_v100_d0p7_r0p5_k0p5,cls_1m,0.5,100,0.7,0.5,0.5,1621551,AUC,0.6557012714094441
NVDA,s0p5_v100_d0p7_r0p5_k0p5,cls_5m,0.5,100,0.7,0.5,0.5,1621551,AUC,0.6193125524190477
NVDA,s0p5_v100_d0p7_r0p5_k0p5,cls_10m,0.5,100,0.7,0.5,0.5,1621551,AUC,0.5883958021138223
NVDA,s0p5_v100_d0p7_r0p5_k0p5,cls_close,0.5,100,0.7,0.5,0.5,1621551,AUC,0.515852385609921
NVDA,s0p5_v100_d0p7_r0p5_k1p0,cls_1m,0.5,100,0.7,0.5,1.0,1614545,AUC,0.6556866798118762
NVDA,s0p5_v100_d0p7_r0p5_k1p0,cls_5m,0.5,100,0.7,0.5,1.0,1614545,AUC,0.6269514672256256
NVDA,s0p5_v100_d0p7_r0p5_k1p0,cls_10m,0.5,100,0.7,0.5,1.0,1614545,AUC,0.5933144389799916
NVDA,s0p5_v100_d0p7_r0p5_k1p0,cls_close,0.5,100,0.7,0.5,1.0,1614545,AUC,0.516544100274922
NVDA,s0p5_v100_d0p8_r0p1_k0p2,cls_1m,0.5,100,0.8,0.1,0.2,1221108,AUC,0.6545172260993094
NVDA,s0p5_v100_d0p8_r0p1_k0p2,cls_5m,0.5,100,0.8,0.1,0.2,1221108,AUC,0.6176299608175917
NVDA,s0p5_v100_d0p8_r0p1_k0p2,cls_10m,0.5,100,0.8,0.1,0.2,1221108,AUC,0.5886866439749128
