ticker,close,dvol,PRIMEXCH
SYY,78.95,154038397.6,N
MOS,40.19,152665734.0,N
STT,94.45,152497553.25,N
CFLT,69.92,151748284.96,Q
KKR,73.52,151582065.6,N
RNG,192.41,150539659.9,N
GD,207.46,149891509.68,N
WU,18.53,149013127.19,N
ZBH,129.13,148533977.71,N
CHRW,107.9,148422384.5,Q
AVTR,40.56,148340209.68,N
MTN,321.97,148275878.19000003,N
OKE,59.99,148274283.5,N
PPL,30.14,148016997.48,N
ANSS,395.49,147739244.4,Q
WHR,232.7,147372400.5,N
MPWR,494.85,146939274.45000002,Q
COO,421.6,146488714.4,N
AVLR,126.71,146337759.13,N
ELAN,28.25,145954783.25,N
BLL,93.26,145373967.78,N
ADM,67.89,144901836.18,N
CPRT,146.95,142868610.7,Q
MLM,439.01,142365674.88,N
IFF,149.12,141207543.68,N
PPG,170.6,141194019.2,N
VFC,73.71,140854724.01,N
NVR,5757.01,140551642.14000002,N
FLT,231.11,140355182.99,N
DOV,178.33,140184143.02,N
OPEN,15.07,138685653.48,Q
JWN,23.98,138666843.92000002,N
FDS,476.02,138375205.84,N
HPE,16.14,138305064.18,N
EQT,21.82,137928125.78,N
RGEN,257.96,137317783.11999997,Q
SIRI,6.36,136999799.64000002,Q
SRE,131.99,136652414.76000002,N
EXPD,130.79,135955551.04999998,Q
ZEN,103.53,135179224.53,N
TFX,334.73,135077948.39000002,N
ES,89.13,132328637.1,N
FIVN,138.95,132053216.74999999,Q
RUN,35.47,131694186.50999999,Q
IP,46.79,131406346.12,N
AWK,184.14,131222583.35999998,N
FIVE,207.71,131169695.84,Q
KMX,127.01,131005988.62,N
FE,41.24,130684528.72000001,N
APPS,62.22,129783142.5,Q
ABC,132.62,129691219.92,N
KDP,36.71,128637309.79,Q
VMC,207.9,127789685.10000001,N
TOL,70.24,126846275.52,N
HRL,49.13,126328951.60000001,N
RJF,102.86,126033535.12,N
PCAR,88.48,124533653.44000001,Q
FWONK,64.25,124177902.5,Q
IT,321.96,124136185.44,N
CSGP,78.84,123922840.68,Q
CAH,52.01,123722584.22999999,N
BBBY,15.16,123631376.64,Q
ED,85.13,123482682.47,N
CPB,43.74,123129543.42,N
CPNG,28.72,122876882.96,N
CMA,88.61,122750192.46,N
HOLX,73.1,122429780.6,Q
AME,143.67,122179697.72999999,N
TSCO,235.72,121592861.92,Q
TECH,487.79,120902166.03,Q
EMN,119.63,120786343.58,N
LUMN,12.7,119997677.19999999,N
BKR,25.04,119553655.28,Q
AMP,304.26,118806227.75999999,N
GLW,37.19,118279745.41999999,N
AJG,166.71,116966903.49000001,N
WEC,96.09,116783750.22,N
CE,167.49,116219133.63000001,N
DAR,69.84,115827265.44000001,N
MHK,183.97,115791085.94,N
PCG,12.21,115294951.86000001,N
DISCK,24.59,114921217.46,Q
ETR,111.4,114738880.80000001,N
NTRA,91.33,114194100.17999999,Q
IBKR,78.28,113595082.64,Q
OMC,73.89,113162756.67,N
IR,59.63,112887401.53,N
MP,47.65,112883183.55,N
AZTA,103.81,112784893.55,Q
PSTG,32.0,112543456.0,N
AKAM,117.51,110807934.66000001,Q
OLN,55.85,110051028.75,N
FOXA,37.64,109629172.44,Q
CDAY,104.94,109307707.74,N
PODD,275.7,108757860.3,Q
AEO,25.27,108260672.66,N
LW,63.92,107970084.48,N
QDEL,134.29,107962714.08,Q
FSR,16.71,107732110.44000001,N
K,64.68,107649187.80000001,N
PHM,56.09,107478311.84,N
FL,44.76,106965747.11999999,N
IPG,37.65,106750852.2,N
EIX,67.51,106627184.28,N
HES,76.79,106281737.03000002,N
BRO,68.79,106177984.11000001,N
JBLU,14.7,105549601.5,Q
LII,314.12,105484008.96000001,N
ARCB,112.67,105459345.34,Q
CIEN,77.38,105362542.5,N
SITE,236.85,105232455.0,N
ALK,54.07,105039788.41,N
VRT,24.38,104226767.33999999,N
GWW,510.2,103902740.2,N
PWR,112.27,103695154.21,N
FBHS,104.67,102691737.0,N
INCY,73.97,102618802.91,Q
CBRE,108.67,101416386.17,N
FND,130.27,101366864.83000001,N
ENTG,138.39,101174299.58999999,Q
SJM,136.8,100581926.4,N
