ticker,earn_date
C,20230113
C,20221014
C,20220715
CAG,20250403
CAG,20241219
CAG,20241002
CAG,20240711
CAG,20240404
CAG,20240104
CAG,20231005
CAG,20230713
CAG,20230405
CAG,20230105
CAG,20221006
CAG,20220714
CAH,20250501
CAH,20250130
CAH,20241101
CAH,20240814
CAH,20240502
CAH,20240201
CAH,20231103
CAH,20230815
CAH,20230504
CAH,20230202
CAH,20221104
CAH,20220811
CARR,20250501
CARR,20250211
CARR,20241024
CARR,20240725
CARR,20240425
CARR,20240206
CARR,20231026
CARR,20230727
CARR,20230425
CARR,20230207
CARR,20221027
CARR,20220728
CAT,20250430
CAT,20250130
CAT,20241030
CAT,20240806
CAT,20240425
CAT,20240205
CAT,20231031
CAT,20230801
CAT,20230427
CAT,20230131
CAT,20221027
CAT,20220802
CCI,20250430
CCI,20250313
CCI,20241016
CCI,20240717
CCI,20240417
CCI,20240124
CCI,20231018
CCI,20230719
CCI,20230419
CCI,20230125
CCI,20221019
CCI,20220720
CCJ,20250501
CCJ,20250220
CCJ,20241107
CCJ,20240731
CCJ,20240430
CCJ,20240208
CCJ,20231031
CCJ,20230802
CCJ,20230428
CCJ,20230209
CCJ,20221027
CCJ,20220727
CCL,20250624
CCL,20250321
CCL,20241220
CCL,20240930
CCL,20240625
CCL,20240327
CCL,20231221
CCL,20230929
CCL,20230626
CCL,20230327
CCL,20221221
CCL,20220930
CDNS,20250428
CDNS,20250218
CDNS,20241028
CDNS,20240722
CDNS,20240422
CDNS,20240212
CDNS,20231023
CDNS,20230724
CDNS,20230424
CDNS,20230213
CDNS,20221024
CDNS,20220725
CEG,20250506
CEG,20250218
CEG,20241104
CEG,20240806
CEG,20240509
CEG,20240227
CEG,20231106
CEG,20230803
CEG,20230504
CEG,20230216
CEG,20221108
CEG,20220804
CF,20250507
CF,20250219
CF,20241030
CF,20240807
CF,20240501
CF,20240214
CF,20231101
CF,20230802
CF,20230501
CF,20230215
CF,20221102
CF,20220801
CFG,20250416
CFG,20250117
CFG,20241016
CFG,20240717
CFG,20240417
CFG,20240117
CFG,20231018
CFG,20230719
CFG,20230419
CFG,20230117
CFG,20221019
CFG,20220719
CFLT,20250430
CFLT,20250211
CFLT,20241030
CFLT,20240731
CFLT,20240507
CFLT,20240207
CFLT,20231101
CFLT,20230802
CFLT,20230503
CFLT,20230130
CFLT,20221102
CFLT,20220803
CG,20250508
CG,20250211
CG,20241107
CG,20240805
CG,20240501
CG,20240207
CG,20231107
CG,20230802
CG,20230504
CG,20230207
CG,20221108
CG,20220728
CGNX,20250430
CGNX,20250212
CGNX,20241030
CGNX,20240731
CGNX,20240502
CGNX,20240215
CGNX,20231031
CGNX,20230803
CGNX,20230504
CGNX,20230216
CGNX,20221103
CGNX,20220802
CHTR,20250425
CHTR,20250131
CHTR,20241101
CHTR,20240726
CHTR,20240426
CHTR,20240202
CHTR,20231027
CHTR,20230728
CHTR,20230428
CHTR,20230127
CHTR,20221028
CHTR,20220729
CI,20250502
CI,20250130
CI,20241031
CI,20240801
CI,20240502
CI,20240202
CI,20231102
CI,20230803
CI,20230505
CI,20230203
CI,20221103
CI,20220804
CL,20250425
CL,20250131
CL,20241025
CL,20240726
CL,20240426
CL,20240126
CL,20231027
CL,20230728
CL,20230428
CL,20230127
CL,20221028
CL,20220729
CLF,20250507
CLF,20250224
CLF,20241104
CLF,20240722
CLF,20240422
CLF,20240129
CLF,20231023
CLF,20230724
CLF,20230424
CLF,20230213
CLF,20221025
CLF,20220722
CM,20250529
CM,20250227
CM,20241205
CM,20240829
CM,20240530
CM,20240229
CM,20231130
CM,20230831
CM,20230525
CM,20230224
CM,20221201
CM,20220825
CMCSA,20250424
CMCSA,20250130
CMCSA,20241031
CMCSA,20240723
CMCSA,20240425
CMCSA,20240125
CMCSA,20231026
CMCSA,20230727
CMCSA,20230427
CMCSA,20230126
CMCSA,20221027
CMCSA,20220728
CME,20250423
CME,20250212
CME,20241023
CME,20240724
CME,20240424
CME,20240214
CME,20231025
CME,20230726
CME,20230426
CME,20230208
CME,20221026
CME,20220727
CNC,20250425
CNC,20250204
CNC,20241025
CNC,20240726
CNC,20240426
CNC,20240206
CNC,20231024
CNC,20230728
CNC,20230425
CNC,20230207
CNC,20221025
CNC,20220726
CNI,20250501
CNI,20250130
CNI,20241022
CNI,20240723
CNI,20240423
CNI,20240123
CNI,20231024
CNI,20230725
CNI,20230424
CNI,20230124
CNI,20221025
CNI,20220726
CNP,20250424
CNP,20250220
CNP,20241028
CNP,20240730
CNP,20240430
CNP,20240220
CNP,20231026
CNP,20230727
CNP,20230427
CNP,20230217
CNP,20221101
CNP,20220802
CNQ,20250508
CNQ,20250306
CNQ,20241031
CNQ,20240801
CNQ,20240502
CNQ,20240229
CNQ,20231102
CNQ,20230803
CNQ,20230504
CNQ,20230302
CNQ,20221103
CNQ,20220804
CNX,20250424
CNX,20250130
CNX,20241024
CNX,20240725
CNX,20240425
CNX,20240125
CNX,20231025
CNX,20230727
CNX,20230427
CNX,20230126
CNX,20221027
CNX,20220728
COF,20250422
COF,20250121
COF,20241024
COF,20240723
COF,20240425
COF,20240125
COF,20231026
COF,20230720
COF,20230427
COF,20230124
COF,20221027
COF,20220721
COHR,20250507
COHR,20250205
COHR,20241106
COHR,20240815
COHR,20240507
COHR,20240205
COHR,20231107
COHR,20230816
COHR,20230510
COHR,20230208
COHR,20221109
COHR,20220824
COIN,20250508
COIN,20250213
COIN,20241030
COIN,20240801
COIN,20240502
COIN,20240215
COIN,20231102
COIN,20230803
COIN,20230504
COIN,20230221
COIN,20221103
COIN,20220809
COLB,20250423
COLB,20250123
COLB,20241024
COLB,20240725
COLB,20240425
COLB,20240124
COLB,20231018
COLB,20230719
COLB,20230426
COLB,20230123
COLB,20221019
COLB,20220720
COP,20250508
COP,20250206
COP,20241031
COP,20240801
COP,20240502
COP,20240208
COP,20231102
COP,20230803
COP,20230504
COP,20230202
COP,20221103
COP,20220804
COST,20250529
COST,20250306
COST,20241212
COST,20240926
COST,20240606
COST,20240307
COST,20231214
COST,20230926
COST,20230601
COST,20230302
COST,20221208
COST,20220922
CP,20250430
CP,20250129
CP,20241023
CP,20240730
CP,20240424
CP,20240130
CP,20231025
CP,20230727
CP,20230426
CP,20230131
CP,20221026
CP,20220728
CPB,20250602
CPB,20250305
CPB,20241203
CPB,20240829
CPB,20240605
CPB,20240306
CPB,20231206
CPB,20230831
CPB,20230607
CPB,20230308
CPB,20221207
CPB,20220901
CPNG,20250506
CPNG,20250225
CPNG,20241105
CPNG,20240806
CPNG,20240507
CPNG,20240227
CPNG,20231107
CPNG,20230808
CPNG,20230509
CPNG,20230228
CPNG,20221109
CPNG,20220810
CPRT,20250522
CPRT,20250220
CPRT,20241121
CPRT,20240904
CPRT,20240516
CPRT,20240222
CPRT,20231116
CPRT,20230914
CPRT,20230517
CPRT,20230220
CPRT,20221116
CPRT,20220907
CRK,20250430
CRK,20250218
CRK,20241030
CRK,20240730
CRK,20240501
CRK,20240213
CRK,20231030
CRK,20230731
CRK,20230502
CRK,20230214
CRK,20221101
CRK,20220801
CRM,20250528
CRM,20250226
CRM,20241203
CRM,20240828
CRM,20240529
CRM,20240228
CRM,20231129
CRM,20230830
CRM,20230531
CRM,20230301
CRM,20221130
CRM,20220824
CROX,20250508
CROX,20250213
CROX,20241029
CROX,20240801
CROX,20240507
CROX,20240215
CROX,20231102
CROX,20230727
CROX,20230427
CROX,20230216
CROX,20221103
CROX,20220804
CRWD,20250603
CRWD,20250304
CRWD,20241126
CRWD,20240828
CRWD,20240604
CRWD,20240305
CRWD,20231128
CRWD,20230830
