tk,n,rho_infl,p_infl,rho_trad,p_trad,mean_pre_bps,mean_trad_bps,mean_infl_bps
AVTR,1030945,0.0291735785955772,6.554109035386271e-193,0.0011952972357924,0.2248815846761834,-47.4514250211801,16.225781872902775,6.53981888469797
BCS,552211,0.0209672820365706,9.550603445177191e-55,-0.0082784897993453,7.65544341293293e-10,-70.86932066741888,6.162339004826045,0.5146874893011129
BND,560204,0.0232006184930699,1.4615234770426911e-67,-0.0269496707004409,1.637527258347636e-90,-26.535506092900924,20.18569650857241,0.6532017216977734
CAT,1174170,0.0056811406882856,7.456875884893757e-10,-0.0038240182378795,3.4177143834429415e-05,9.612218007323568,-26.984728317200123,-2.093493192269196
CG,1070384,0.0257753864427534,1.0093957213221524e-156,0.0100664749441529,2.1188074227358044e-25,-9.297866707729366,0.9252992784354548,0.4643135642020982
CNP,1026861,0.0283548627690293,1.246580527541797e-181,0.0103081023459382,1.5300899977085322e-25,32.76089182943039,-57.51175096928026,-0.443137693810082
CPNG,1036533,0.0272503882233307,1.8009820291097584e-169,0.0069518412090251,1.464979604173991e-12,-53.72826781736688,30.824452732264948,5.674803225300404
CUBE,729951,0.0315968883147857,1.3932124692967075e-160,-0.0011845278296251,0.3115257768955308,-19.15135672292135,14.561280973445443,2.829746063902782
DELL,1403988,0.0162553054208634,1.1160916092781528e-82,-0.0023191652757014,0.0059963634873309,-27.542809447664474,-1.9763159372232733,2.0345242811317275
DLTR,1007824,0.0189877846035271,5.065130992696947e-81,-0.001468838149919,0.1403276431033924,3.9752927746343993,-17.46214152531042,3.1411145938073344
EBAY,1286130,0.0221099151105369,8.77997312364638e-139,5.451925098583692e-05,0.9506990463317084,0.6572188172428846,-5.470397887713886,2.178890463954217
EQNR,990911,0.0157947278538877,1.0398969300940206e-55,-0.0097549617817162,2.713386434103656e-22,-43.838222254141165,20.552727646659527,-0.5653315073938822
FANG,1052747,0.0159845342425476,1.8591930493984582e-60,-6.184528132962414e-05,0.9494039344330252,-13.724270141068413,2.4008427606121603,-1.554341188394902
FOXA,1153292,0.0255723892560905,4.351478143055411e-166,0.0051916814635574,2.4688701871861515e-08,-11.198848746283414,-3.519927176194109,0.8390995976507558
GD,690815,0.0254421706776013,2.7760379650594264e-99,-0.0002120883625452,0.8600759200877299,19.00001269985518,-43.98739710946083,0.8326894018326214
GOOGL,1217310,0.0196628726118291,2.2152605343775436e-104,-0.0031664398959098,0.0004765644104759,-0.3582051516261935,0.8949520438848247,7.042121104643711
HD,1270954,0.0223161655329557,1.055216147589074e-139,0.0056775710049037,1.5462006236523886e-10,-1.0353480465896547,-16.51251772677478,2.872055569520266
HWM,968591,0.0203139456344782,6.15941540170409e-89,0.0022616939671139,0.0260214298983018,3.742953118519356,-22.800743420525997,-5.938359467991614
IP,1148082,0.0211271960725101,1.7506560960785848e-113,0.0067670825281888,4.1398522287775924e-13,-14.238248967917272,5.154606101601886,3.192713175286582
KBWB,868186,0.0287432670291503,4.523001226081901e-158,0.0016404237170188,0.126391366388872,-1.555368831312568,0.4620621585732585,0.4585528550489832
KR,1326579,0.0238606790804278,2.5845982964357153e-166,-0.0033059218029149,0.0001402792629383,-3.869443402566776,-4.132159133761698,0.0019238449301618
LOGI,616877,0.019388065702839,2.2675474168258327e-52,0.0064117582910268,4.755248301692301e-07,-33.24824668908277,17.047445155549813,2.160350203298429
MA,1066470,0.0219490739545551,8.956456969790697e-114,0.0098238659395366,3.475566512539822e-24,2.9617946588537505,-20.219227781261267,1.87149179315662
MFC,533810,0.0317812895770852,2.4899156001636773e-119,-0.0050525911692625,0.0002228877596307,-539.5486927587377,9.712668095474127,1.5069172845114849
MRVL,1486787,0.0190452148808035,2.566305998390212e-119,0.0390749498072144,0.0,-125.20623808863375,15.787228606262236,1.3985284819626829
