tk,n,flow_oc,p_oc,flow_cc,dir_oc,mean_dir,frac_short
BSX,764,-0.06421906883687603,0.07606721993418925,0.03329519420968579,-0.01177519562302579,0.7198952879581152,0.1400523560209424
BTI,952,0.031210930287789262,0.3360663248672292,0.10002816399997991,0.059883806696694214,-0.9789915966386554,0.9894957983193278
BUD,949,0.11739724065373738,0.00028975204643166217,0.04416446509642249,-0.029948469507799166,-0.9978925184404637,0.9989462592202318
BX,901,0.03433240326216316,0.3032837691363243,0.07438720027655193,0.0393152123082517,-0.46059933407325193,0.730299667036626
CAG,947,-0.09293987706710857,0.004203226544890106,-0.03188711771556348,-0.006513762534778591,-0.5058078141499472,0.7529039070749736
CAH,915,-0.014200923586239566,0.6679249018145645,0.02040251575076272,-0.00012111462801411367,0.5475409836065573,0.2262295081967213
CARR,912,-0.014149144396257474,0.66957590571537,0.04557234047401492,0.017901375800022396,-0.7828947368421053,0.8914473684210527
CAT,788,0.004789170444184874,0.8932240441766431,0.05975964267298763,-0.0012590758384783411,0.1700507614213198,0.4149746192893401
CCI,945,-0.03989427476650206,0.2204815679679099,0.07431624861181754,-0.004633686973470639,-0.7375661375661375,0.8687830687830688
CCJ,943,-0.047349664613274785,0.14624754085273042,-0.13052705540161597,0.0009185904467938486,-0.8409331919406151,0.9204665959703076
CCL,904,0.03653389964962751,0.27251185937921835,0.050572592731687994,0.02851095542030817,-0.7411504424778761,0.870575221238938
CEG,902,0.08388647413356352,0.011724196526651869,0.05404898367461395,0.0332385614062909,-0.753880266075388,0.876940133037694
CF,942,0.007030577683617369,0.8293784686714997,0.021691491688374778,-0.06552998997531166,-0.7367303609341825,0.8683651804670913
CFG,887,-0.033172010286677774,0.3237282806980305,0.03634195554822566,-0.030787477015917185,-0.5963923337091319,0.798196166854566
CFLT,928,-0.005880172817772981,0.8580253610291709,-0.03164942872405556,-0.013586933351216917,-0.8987068965517241,0.9493534482758621
CG,921,0.06458917696451519,0.05005010613427207,0.010266298147813503,0.03425470765639245,-0.3963083604777416,0.6981541802388708
CGNX,981,0.07232717083106208,0.023486133603000375,0.08540640948446525,-0.016189948509629872,-0.9979612640163099,0.9989806320081549
CHTR,952,0.07548405390820397,0.019843897414990014,0.172691039686076,,-1.0,1.0
CI,907,0.12224322439798663,0.0002239878943136543,0.1709905226175077,0.031009409746645903,0.06284454244762955,0.4685777287761852
CL,262,-0.03244297262134961,0.6011398204604144,0.002741365932822053,-0.04836868886982724,-0.9465648854961832,0.9732824427480916
CLF,930,0.020222848670235924,0.537929132720283,0.026114154487460545,0.062724389984788,-0.421505376344086,0.710752688172043
CM,952,-0.035388932555434495,0.2753543673020316,0.0033965463049134186,-0.06878617151801361,-0.8991596638655462,0.9495798319327731
CMCSA,914,0.009711297178360211,0.7693683096979257,0.15385685464908877,0.03468261861206272,-0.8665207877461707,0.9332603938730853
CME,931,0.05220548493611705,0.11141738342593087,0.07764070856338684,0.030652719326377767,-0.08055853920515575,0.5402792696025779
CNC,825,0.028737502823191086,0.409746017776554,0.11423308808512578,0.07453831814331828,0.5054545454545455,0.24727272727272728
CNI,946,-0.03943208743389236,0.2256330219868273,-0.02276317613908022,-0.05586912323570278,-0.718816067653277,0.8594080338266384
CNP,930,0.012132731004163273,0.7117442296690053,0.027745083173885386,0.01269040482992491,0.421505376344086,0.289247311827957
CNQ,947,0.05875046646562527,0.07074313883674843,0.07847125664387891,0.001224927472506685,-0.9007391763463569,0.9503695881731784
CNX,938,0.013576913778763675,0.6779355490369348,0.006354238986110073,0.023399878198758692,0.8017057569296375,0.09914712153518124
COHR,889,-0.03925972294204978,0.24225225162381636,0.05382599318758802,-0.04181128827398851,-0.7142857142857143,0.8571428571428571
COIN,951,0.12660953706517308,9.038503615052086e-05,0.07177586257892146,,-1.0,1.0
COLB,925,-0.06873044555208942,0.036617782664484566,0.010007458842272325,0.012921508267035668,-0.4205405405405405,0.7102702702702702
COST,877,0.22708145271526364,1.015245036144734e-11,0.3435578427442267,0.13449393430008066,0.10376282782212087,0.44811858608893956
CP,927,-0.05839816401313651,0.07554394622533483,0.006299891937929713,0.019934308176727412,-0.389428263214671,0.6947141316073355
CPB,917,0.04273157572522225,0.19607213082238162,0.04945992656766891,0.06425804242487029,0.5441657579062159,0.22791712104689205
CPNG,936,-0.07641530393052678,0.01937925423270554,-0.06145072398007234,0.036084508739897755,-0.9764957264957265,0.9882478632478633
CPRT,916,-0.02962573376237154,0.37046128375298654,0.14730460479279686,-0.012900929297716543,-0.9104803493449781,0.9552401746724891
CRK,990,-0.03294526012001052,0.30040282914696387,-0.02507728274471753,0.02664569804601445,-0.6525252525252525,0.8262626262626263
CRM,888,-0.07381614379509689,0.0278370992563897,-0.06202006831442441,-0.004501477667037736,-0.831081081081081,0.9155405405405406
CROX,925,0.017747624932974927,0.5898278459487607,0.07757581826011252,-0.013342935660326186,-0.9956756756756757,0.9978378378378379
CRWD,943,0.14887350079990733,4.407112543617604e-06,0.15401536226400017,0.11617319483823556,-0.9045599151643691,0.9522799575821845
CSGP,913,-0.05288462003565646,0.11029151297422175,-0.002586230191138842,-0.07124195043892816,-0.6911281489594743,0.8455640744797371
CSX,928,-0.04465401374433776,0.17410099612439003,-0.011203272828959575,-0.007079086947886559,-0.8318965517241379,0.915948275862069
CTSH,843,-0.006783578795335874,0.8440876840142408,0.019129096941058646,-0.030418627797737827,-0.33807829181494664,0.6690391459074733
CUBE,947,0.07024159035813135,0.03066559045603014,0.019543338898387275,,-1.0,1.0
